# Country Centroids for Distance Calculation
# Generated: 2026-04-17
# Source: Standard geographic centroids
# Usage: Calculate great-circle distances for origin-destination modeling

country_code,country_name,latitude,longitude,region
NER,Niger,17.6078,8.0817,Africa
NGA,Nigeria,9.0820,8.6753,Africa
MKD,North Macedonia,41.5672,21.6436,Europe
NOR,Norway,60.4720,8.4689,Europe
OMN,Oman,21.4735,55.9754,Middle East
PAK,Pakistan,30.3753,69.3451,Asia-Pacific
PLW,Palau,7.5150,134.5825,Asia-Pacific
PAN,Panama,8.5380,-80.7821,Americas
PNG,Papua New Guinea,-6.3150,143.9555,Asia-Pacific
PRY,Paraguay,-23.4425,-58.4438,Americas
PER,Peru,-9.1900,-75.0152,Americas
PHL,Philippines,12.8797,121.7740,Asia-Pacific
POL,Poland,51.9194,19.1451,Europe
PRT,Portugal,39.3999,-8.2245,Europe
QAT,Qatar,25.3548,51.1839,Middle East
ROU,Romania,45.9432,24.9668,Europe
RUS,Russia,61.5240,105.3188,Europe
RWA,Rwanda,-1.9403,29.8739,Africa
KNA,Saint Kitts and Nevis,17.3578,-62.7830,Americas
LCA,Saint Lucia,13.9094,-60.9789,Americas
VCT,Saint Vincent and the Grenadines,12.9843,-61.2872,Americas
WSM,Samoa,-13.7590,-172.1046,Asia-Pacific
SMR,San Marino,43.9424,12.4578,Europe
STP,São Tomé and Príncipe,0.1864,6.6131,Africa
SAU,Saudi Arabia,23.8859,45.0792,Middle East
SEN,Senegal,14.4974,-14.4524,Africa
SRB,Serbia,44.0165,21.0059,Europe
SYC,Seychelles,-4.6796,55.4920,Africa
SLE,Sierra Leone,8.4606,-11.7799,Africa
SGP,Singapore,1.3521,103.8198,Asia-Pacific
SVK,Slovakia,48.6690,19.6990,Europe
SVN,Slovenia,46.1512,14.9955,Europe
SLB,Solomon Islands,-9.6457,160.1562,Asia-Pacific
SOM,Somalia,5.1521,46.1996,Africa
ZAF,South Africa,-30.5595,22.9375,Africa
SSD,South Sudan,6.8770,31.3070,Africa
ESP,Spain,40.4637,-3.7492,Europe
LKA,Sri Lanka,7.8731,80.7718,Asia-Pacific
SDN,Sudan,12.8628,30.2176,Middle East
SUR,Suriname,3.9193,-56.0278,Americas
SWE,Sweden,60.1282,18.6435,Europe
CHE,Switzerland,46.8182,8.2275,Europe
SYR,Syria,34.8021,38.9968,Middle East
TWN,Taiwan,23.6978,120.9605,Asia-Pacific
TJK,Tajikistan,38.8610,71.2761,Asia-Pacific
TZA,Tanzania,-6.3690,34.8888,Africa
THA,Thailand,15.8700,100.9925,Asia-Pacific
TLS,Timor-Leste,-8.8742,125.7275,Asia-Pacific
TGO,Togo,8.6195,0.8248,Africa
TON,Tonga,-21.1789,-175.1982,Asia-Pacific
TTO,Trinidad and Tobago,10.6918,-61.2225,Americas
TUN,Tunisia,33.8869,9.5375,Middle East
TUR,Turkey,38.9637,35.2433,Europe
TKM,Turkmenistan,38.9697,59.5563,Asia-Pacific
TUV,Tuvalu,-7.1095,177.6493,Asia-Pacific
UGA,Uganda,1.3733,32.2903,Africa
UKR,Ukraine,48.3794,31.1656,Europe
ARE,United Arab Emirates,23.4241,53.8478,Middle East
GBR,United Kingdom,55.3781,-3.4360,Europe
USA,United States,37.0902,-95.7129,Americas
URY,Uruguay,-32.5228,-55.7658,Americas
UZB,Uzbekistan,41.3775,64.5853,Asia-Pacific
VUT,Vanuatu,-15.3767,166.9592,Asia-Pacific
VAT,Vatican City,41.9029,12.4534,Europe
HKG,"China, Hong Kong Special Administrative Region",22.3193,114.1694,Asia-Pacific
ASM,American Samoa,-14.2710,-170.1322,Oceania
BMU,Bermuda,32.3078,-64.7505,Americas
VGB,British Virgin Islands,18.4207,-64.6400,Americas
CYM,Cayman Islands,19.3133,-81.2546,Americas
GUF,French Guiana,3.9339,-53.1258,Americas
PYF,French Polynesia,-17.6797,-149.4068,Oceania
PSE,State of Palestine,31.9522,35.2332,Asia-Pacific
GLP,Guadeloupe,16.2650,-61.5510,Americas
GUM,Guam,13.4443,144.7937,Asia-Pacific
LIE,Liechtenstein,47.1660,9.5554,Europe
MAC,"China, Macao Special Administrative Region",22.1987,113.5439,Asia-Pacific
MTQ,Martinique,14.6415,-61.0242,Americas
MSR,Montserrat,16.7425,-62.1874,Americas
CUW,Curaçao,12.1696,-68.9900,Americas
ABW,Aruba,12.5211,-69.9683,Americas
SXM,Sint Maarten (Dutch part),18.0425,-63.0548,Americas
NCL,New Caledonia,-20.9043,165.6180,Oceania
NIU,Niue,-19.0544,-169.8672,Oceania
MNP,Northern Mariana Islands,15.0979,145.6739,Asia-Pacific
